,MOL_id,MOL_name,SMILES,Cluster No.,Num_data,Num_pos_data
110,L000111,STL026305,COc1ccc(-c2cc(OC(=O)c3cccc([N+](=O)[O-])c3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
111,L000112,STL199712,COc1ccc(-c2cc(OC(=O)c3ccco3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
112,L000113,STK874175,CCOc1cc(-c2ccc(OC)cc2)cc(=O)c2c(C)oc(C)c12,,9,0
113,L000114,NPL80534-01,COc1cc(/C=C/C(=O)OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](Oc4cc5c(O)cc(O)cc5[o+]c4-c4ccc(O)c(O)c4)[C@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O,,9,0
114,L000115,NPL10531-01,C/C=C1/CN2CC[C@]34C(=Nc5ccc(OC)cc53)C2C[C@@H]1C4(CO)C(=O)OC,,9,0
115,L000116,NPL00514-01,CC(C)=CCCC1(C)C=Cc2c(c(C)cc3c2[nH]c2ccccc23)O1,,9,0
116,L000117,NPL01324-01,COc1ccc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(OC)c(OC)c2)cc1OC,,9,0
117,L000118,NPD15223,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)N1CCn2c3c(c4cc(C5CCCCC5)ccc42)CCCC31,,9,0
118,L000119,NPD15203,COc1cc2c(c(OC)c1OC)-c1ccc(NC(C)CCc3ccco3)c(=O)cc1[C@@H](NC(C)=O)CC2,,9,0
119,L000120,NPD15609,COc1c2c(cc3c1C(CC(=O)c1cc4c(cc1C)C(C)(C)C(C)CC4(C)C)N(C)CC3)OCO2,,9,0
120,L000121,NPD15404,CCn1nc(-c2cccs2)nc2c(=O)n(C)c(=O)nc1-2,,9,0
121,L000122,HRT-0062,Cc1coc2c1[C@@H]1OC(=O)[C@H]3CCC[C@H](C2)[C@@]31C,,9,0
122,L000123,NPL10711-01,O=c1[nH]c(-c2ccccn2)nc2scc(-c3ccccc3)c12,,9,0
123,L000124,NPD15265,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(NCCC3=CCCCC3)c(=O)cc21,,9,0
124,L000125,"7,8-Dihydroxycoumarin",O=c1ccc2ccc(O)c(O)c2o1,,9,0
125,L000126,NPD15763,CCCC(=O)C1C(=O)C(C(=O)OC)C(C)(C)C/C1=N/OCC,,9,0
126,L000127,STK428104,Cc1ccc(-c2cc(C(=O)Nc3nc(-c4ccc(F)cc4)cs3)c3ccccc3n2)o1,,9,0
127,L000128,Z28421120,COc1ccc(-c2cc(C(=O)Nc3nc(-c4ccco4)c(-c4ccco4)s3)c3ccccc3n2)cc1,,9,0
128,L000129,NPD15295,CC(C)c1nc2c(c3c1[nH]c1ccccc13)C(=O)CC(C)(C)C2,,9,0
129,L000130,Capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,0.0,13,13
130,L000131,Caudatin,CC(C)C(=CC(=O)OC1CC2C3(CCC(CC3=CCC2(C4(C1(C(CC4)(C(=O)C)O)C)O)O)O)C)C,0.0,3,3
131,L000132,Cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,0.0,15,15
132,L000133,Enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,0.0,36,36
133,L000134,Epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,0.0,353,353
134,L000135,Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,0.0,77,77
135,L000136,Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,0.0,2,2
136,L000137,Metformin,CN(C)C(=N)N=C(N)N,0.0,12,12
137,L000138,Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,0.0,221,221
138,L000139,Prednisone,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,0.0,24,24
139,L000140,Vitamin D3,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,0.0,27,27
140,L000141,Anthocyanin,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2,0.0,12,12
141,L000142,Caffeic acid,C1=CC(=C(C=C1C=CC(=O)O)O)O,0.0,3,3
142,L000143,Ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,0.0,9,9
143,L000144,Paroxetine,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,0.0,31,31
144,L000145,Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,0.0,109,109
145,L000146,Anisomycin,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,0.0,2,2
